Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Commiters weighted with experience;Commiters weighted with involvement;Number of Modified Lines;Number of Modified Lines weighted with experience;Number of Modified Lines weighted with involvement;;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/poi/hssf/record/formula/UnaryPlusPtg;0;3;2;0.02605570530098833;1.9559748427672956;72;1.714285714285714;70.3288409703504;;10;3;0;4;14;45;2;2;10;1.1111111111111112;57;0.3333333333333333;0;0.6521739130434783;0.32;1;4;4.4
org/apache/poi/hssf/record/DrawingRecord;0;3;1;0.02515723270440251;0.9766397124887691;27;0.6792452830188678;26.369272237196768;;11;2;0;3;17;25;0;3;8;0.8;126;0.5;0;0.6;0.5681818181818182;1;5;10.272727272727273
org/apache/poi/hssf/record/formula/NotEqualPtg;1;4;2;0.02605570530098833;1.9559748427672956;171;4.107816711590296;167.02695417789755;;9;3;0;4;13;36;2;2;9;1.125;61;0.0;0;0.6818181818181818;0.3333333333333333;1;4;5.555555555555555
org/apache/poi/hssf/usermodel/HSSFName;0;2;2;0.02605570530098833;1.9559748427672956;71;1.6891284815813115;69.35220125786165;;7;1;0;4;22;0;1;3;5;0.16666666666666666;88;1.0;2;0.0;0.42857142857142855;0;0;11.285714285714286
org/apache/poi/hssf/record/ObjRecord;0;3;1;0.02515723270440251;0.9766397124887691;81;2.0377358490566033;79.1078167115903;;14;2;0;11;39;1;7;4;12;0.6923076923076923;242;0.5;0;0.5217391304347826;0.4;1;6;16.142857142857142
org/apache/poi/hssf/util/AreaReference;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;5;1;0;3;22;0;2;1;4;0.5;149;1.0;1;0.0;0.7;0;0;28.4
org/apache/poi/poifs/property/PropertyFactory;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;2;1;0;5;10;1;1;4;0;2.0;82;0.0;0;0.0;0.5;0;0;40.0
org/apache/poi/hpsf/wellknown/SectionIDMap;0;1;1;0.02515723270440251;0.9766397124887691;70;1.7610062893081757;68.36477987421384;;8;3;0;3;15;26;2;1;7;0.8571428571428571;209;0.25;1;0.9047619047619048;0.34285714285714286;1;1;24.625
org/apache/poi/hssf/record/TextObjectBaseRecord;0;2;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;38;2;1;6;60;255;1;5;36;0.924924924924925;799;0.5185185185185185;6;0.2553191489361702;0.33157894736842103;1;6;19.31578947368421
org/apache/poi/hssf/model/AbstractShape;0;3;1;0.02515723270440251;0.9766397124887691;26;0.6540880503144653;25.392632524708;;6;1;5;20;28;15;5;19;3;2.0;191;0.0;0;0.0;0.3333333333333333;0;0;30.833333333333332
org/apache/poi/poifs/filesystem/POIFSDocumentPath;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;9;1;0;10;20;0;10;0;9;0.25;294;1.0;0;0.0;0.3111111111111111;1;1;31.444444444444443
org/apache/poi/poifs/dev/POIFSViewEngine;0;1;1;0.02515723270440251;0.9766397124887691;68;1.7106918238993707;66.4115004492363;;4;1;0;2;24;4;1;1;2;0.3333333333333333;146;1.0;0;0.0;0.4666666666666667;0;0;35.25
org/apache/poi/ddf/EscherRecordFactory;0;2;1;0.02515723270440251;0.9766397124887691;15;0.37735849056603765;14.649595687331537;;1;1;0;19;1;0;19;1;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0
org/apache/poi/hssf/record/FnGroupCountRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;11;2;0;4;21;49;1;3;9;0.9333333333333333;104;0.3333333333333333;0;0.6;0.5227272727272727;1;6;8.181818181818182
org/apache/poi/hpsf/Thumbnail;0;1;1;0.02515723270440251;0.9766397124887691;70;1.7610062893081757;68.36477987421384;;8;1;0;2;12;8;0;2;7;0.8214285714285714;129;0.08333333333333333;0;0.0;0.6428571428571429;0;0;13.625
org/apache/poi/hssf/record/ValueRangeRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;40;2;0;6;60;90;1;5;38;0.8381410256410257;784;0.9375;9;0.24489795918367346;0.275;1;6;18.2
org/apache/poi/hssf/record/formula/IntPtg;0;2;2;0.02605570530098833;1.9559748427672956;71;1.6891284815813115;69.35220125786165;;10;2;0;4;17;33;2;3;9;0.8666666666666667;87;0.6;0;0.6111111111111112;0.2833333333333333;1;4;7.2
org/apache/poi/hssf/model/Workbook;4;10;3;0.13117699910152736;2.9514824797843664;575;16.105121293800536;562.1904761904761;;85;1;0;57;86;3570;45;13;48;1.0119047619047619;524;1.0;4;0.0;0.16732026143790849;0;0;5.0
org/apache/poi/hssf/record/LinkedDataFormulaField;0;1;1;0.02515723270440251;0.9766397124887691;68;1.7106918238993707;66.4115004492363;;10;1;0;4;31;3;1;3;9;0.2222222222222222;183;0.0;0;0.0;0.3333333333333333;0;0;17.2
org/apache/poi/hssf/record/formula/Area3DPtg;1;3;2;0.02605570530098833;1.9559748427672956;71;1.6648697214734947;69.35489667565139;;34;2;0;10;59;187;4;7;34;0.7474747474747474;719;0.8888888888888888;2;0.2619047619047619;0.19852941176470587;2;6;19.88235294117647
